1002,閃刀姬-颯(銀字),monster,http://220.134.173.17/gameking//game/0217/win/158-CYHO/158-CYHO/CYHO-JP047.JPG,14,100, 
3911,閃刀機構-力士型基地,magic,http://220.134.173.17/gameking//game/0217/win/157-DBDS/157-DBDS/DBDS-JP037N.JPG,22,10, 
3912,閃刀機-黃蜂浮游砲,magic,http://220.134.173.17/gameking//game/0217/win/157-DBDS/157-DBDS/DBDS-JP033.JPG,27,10,HOT
3914,閃刀機-黑寡婦戰錨(亮面),magic,http://220.134.173.17/gameking//game/0217/win/157-DBDS/157-DBDS/DBDS-JP034.JPG,8,100, 
3916,閃刀機-鷹式助推器,magic,http://220.134.173.17/gameking//game/0217/win/157-DBDS/157-DBDS/DBDS-JP035N.JPG,25,15,CUT
3917,閃刀機-鯊式加農砲,magic,http://220.134.173.17/gameking//game/0217/win/157-DBDS/157-DBDS/DBDS-JP036.JPG,26,10,HOT
3920,閃刀術式-後燃噴焰(亮面),magic,http://220.134.173.17/gameking//game/0217/win/157-DBDS/157-DBDS/DBDS-JP031.JPG,11,50, 
3922,閃刀空域-零之領域,magic,http://220.134.173.17/gameking//game/0217/win/157-DBDS/157-DBDS/DBDS-JP039.JPG,21,5, 
3937,閃刀術式-干擾波段,magic,http://220.134.173.17/gameking//game/0217/win/157-DBDS/157-DBDS/DBDS-JP032N.JPG,31,5,CUT
3940,閃刀姬-篝(金亮),monster,http://220.134.173.17/gameking//game/0217/win/157-DBDS/157-DBDS/DBDS-JP027.JPG,5,350,HOT
3944,閃刀姬-零,monster,http://220.134.173.17/gameking//game/0217/win/157-DBDS/157-DBDS/DBDS-JP029N.JPG,47,100, 
3945,閃刀起動-交戰態勢(亮面),magic,http://220.134.173.17/gameking//game/0217/win/157-DBDS/157-DBDS/DBDS-JP030.JPG,15,150, 
6575,閃刀姬-雫(20th紅全鑽),monster,http://220.134.173.17/gameking//game/0217/PC/CP/20CP-JPT10R.JPG,3,5000, 
6699,閃刀姬-零(20th紅全鑽),monster,http://220.134.173.17/gameking//game/0217/PC/CP/20CP-JPC02.JPG,5,5000, 
9962,閃刀姬-玫(20th紅全鑽),monster,http://220.134.173.17/gameking//game/0217/win/175-IGAS/175-IGAS/IGAS-JP020R.JPG,3,3000, 
10166,閃刀術式-剪式交錯,magic,http://220.134.173.17/gameking//game/0217/win/175-IGAS/175-IGAS/IGAS-JP062.JPG,11,10, 
11944,閃刀姬-勝(半鑽),monster,http://220.134.173.17/gameking//game/0217/win/177-LVP3/177-LVP3/LVP3-JP086A.JPG,9,300, 
19001,閃刀姬-腕(20th紅全鑽),monster,http://220.134.173.17/gameking//game/0217/win/164-SAST/164-SAST/SAST-JP055R.JPG,5,2000,HOT
22987,閃刀姬-篝(異圖)(半鑽),monster,http://220.134.173.17/gameking//game/0217/win/190-PAC1/190-PAC1/PAC1-JP022AA.JPG,5,1200,HOT
23769,閃刀姬-篝(新卡圖)(黃金),monster,http://220.134.173.17/gameking//game/0217/win/179-RC03/179-RC03-JP/RC03-JP028X.JPG,10,300, 
26597,閃刀起動-連心結繫(半鑽),magic,http://220.134.173.17/gameking//game/0217/usabox/SD/SSB1/SSB1-JP/SSB1-JPS02.JPG,15,800, 
26644,閃刀術式-後燃噴焰(半鑽),magic,http://220.134.173.17/gameking//game/0217/usabox/SD/SSB1/SSB1-JP/SSB1-JP010A.JPG,20,600, 
27813,閃刀術式-爆風偏向(20th紅全鑽),magic,http://220.134.173.17/gameking//game/0217/win/161-SOFU/161-SOFU/SOFU-JP061R.JPG,3,3500,CUT
